year,town,flat_type,median_rent
2015,ANG MO KIO,3 Room,1925
2015,ANG MO KIO,4 Room,2395
2015,ANG MO KIO,5 Room,2675
2015,ANG MO KIO,EXECUTIVE,NA
2015,BEDOK,3 Room,1950
2015,BEDOK,4 Room,2325
2015,BEDOK,5 Room,2537.5
2015,BEDOK,EXECUTIVE,NA
2015,BISHAN,3 Room,2037.5
2015,BISHAN,4 Room,2500
2015,BISHAN,5 Room,2787.5
2015,BISHAN,EXECUTIVE,NA
2015,BUKIT BATOK,3 Room,1850
2015,BUKIT BATOK,4 Room,2237.5
2015,BUKIT BATOK,5 Room,2425
2015,BUKIT BATOK,EXECUTIVE,2600
2015,BUKIT MERAH,3 Room,2150
2015,BUKIT MERAH,4 Room,2812.5
2015,BUKIT MERAH,5 Room,3145
2015,BUKIT MERAH,EXECUTIVE,NA
2015,BUKIT PANJANG,3 Room,1657.5
2015,BUKIT PANJANG,4 Room,1850
2015,BUKIT PANJANG,5 Room,2000
2015,BUKIT PANJANG,EXECUTIVE,2212.5
2015,BUKIT TIMAH,3 Room,NA
2015,BUKIT TIMAH,4 Room,NA
2015,BUKIT TIMAH,5 Room,NA
2015,BUKIT TIMAH,EXECUTIVE,NA
2015,CENTRAL,3 Room,2312.5
2015,CENTRAL,4 Room,2995
2015,CENTRAL,5 Room,NA
2015,CENTRAL,EXECUTIVE,NA
2015,CHOA CHU KANG,3 Room,NA
2015,CHOA CHU KANG,4 Room,2025
2015,CHOA CHU KANG,5 Room,2162.5
2015,CHOA CHU KANG,EXECUTIVE,2375
2015,CLEMENTI,3 Room,2075
2015,CLEMENTI,4 Room,2637.5
2015,CLEMENTI,5 Room,2845
2015,CLEMENTI,EXECUTIVE,NA
2015,GEYLANG,3 Room,1975
2015,GEYLANG,4 Room,2525
2015,GEYLANG,5 Room,2775
2015,GEYLANG,EXECUTIVE,NA
2015,HOUGANG,3 Room,1825
2015,HOUGANG,4 Room,2212.5
2015,HOUGANG,5 Room,2387.5
2015,HOUGANG,EXECUTIVE,2625
2015,JURONG EAST,3 Room,1975
2015,JURONG EAST,4 Room,2437.5
2015,JURONG EAST,5 Room,2562.5
2015,JURONG EAST,EXECUTIVE,NA
2015,JURONG WEST,3 Room,1837.5
2015,JURONG WEST,4 Room,2375
2015,JURONG WEST,5 Room,2550
2015,JURONG WEST,EXECUTIVE,2732.5
2015,KALLANG/WHAMPOA,3 Room,2045
2015,KALLANG/WHAMPOA,4 Room,2650
2015,KALLANG/WHAMPOA,5 Room,2887.5
2015,KALLANG/WHAMPOA,EXECUTIVE,NA
2015,MARINE PARADE,3 Room,2087.5
2015,MARINE PARADE,4 Room,2375
2015,MARINE PARADE,5 Room,NA
2015,MARINE PARADE,EXECUTIVE,NA
2015,PASIR RIS,3 Room,NA
2015,PASIR RIS,4 Room,2212.5
2015,PASIR RIS,5 Room,2400
2015,PASIR RIS,EXECUTIVE,2575
2015,PUNGGOL,3 Room,NA
2015,PUNGGOL,4 Room,2050
2015,PUNGGOL,5 Room,2175
2015,PUNGGOL,EXECUTIVE,NA
2015,QUEENSTOWN,3 Room,2175
2015,QUEENSTOWN,4 Room,2870
2015,QUEENSTOWN,5 Room,3150
2015,QUEENSTOWN,EXECUTIVE,NA
2015,SEMBAWANG,3 Room,NA
2015,SEMBAWANG,4 Room,2012.5
2015,SEMBAWANG,5 Room,2182.5
2015,SEMBAWANG,EXECUTIVE,2302.5
2015,SENGKANG,3 Room,NA
2015,SENGKANG,4 Room,2125
2015,SENGKANG,5 Room,2237.5
2015,SENGKANG,EXECUTIVE,2425
2015,SERANGOON,3 Room,2012.5
2015,SERANGOON,4 Room,2430
2015,SERANGOON,5 Room,2500
2015,SERANGOON,EXECUTIVE,NA
2015,TAMPINES,3 Room,1987.5
2015,TAMPINES,4 Room,2320
2015,TAMPINES,5 Room,2475
2015,TAMPINES,EXECUTIVE,2675
2015,TOA PAYOH,3 Room,2000
2015,TOA PAYOH,4 Room,2537.5
2015,TOA PAYOH,5 Room,2852.5
2015,TOA PAYOH,EXECUTIVE,NA
2015,WOODLANDS,3 Room,1600
2015,WOODLANDS,4 Room,2000
2015,WOODLANDS,5 Room,2125
2015,WOODLANDS,EXECUTIVE,2400
2015,YISHUN,3 Room,1762.5
2015,YISHUN,4 Room,2087.5
2015,YISHUN,5 Room,2325
2015,YISHUN,EXECUTIVE,2475
2016,ANG MO KIO,3 Room,1812.5
2016,ANG MO KIO,4 Room,2275
2016,ANG MO KIO,5 Room,2550
2016,ANG MO KIO,EXECUTIVE,NA
2016,BEDOK,3 Room,1825
2016,BEDOK,4 Room,2225
2016,BEDOK,5 Room,2445
2016,BEDOK,EXECUTIVE,2645
2016,BISHAN,3 Room,1937.5
2016,BISHAN,4 Room,2395
2016,BISHAN,5 Room,2675
2016,BISHAN,EXECUTIVE,NA
2016,BUKIT BATOK,3 Room,1750
2016,BUKIT BATOK,4 Room,2137.5
2016,BUKIT BATOK,5 Room,2337.5
2016,BUKIT BATOK,EXECUTIVE,2512.5
2016,BUKIT MERAH,3 Room,2037.5
2016,BUKIT MERAH,4 Room,2712.5
2016,BUKIT MERAH,5 Room,2975
2016,BUKIT MERAH,EXECUTIVE,NA
2016,BUKIT PANJANG,3 Room,1582.5
2016,BUKIT PANJANG,4 Room,1825
2016,BUKIT PANJANG,5 Room,1932.5
2016,BUKIT PANJANG,EXECUTIVE,2095
2016,BUKIT TIMAH,3 Room,NA
2016,BUKIT TIMAH,4 Room,NA
2016,BUKIT TIMAH,5 Room,NA
2016,BUKIT TIMAH,EXECUTIVE,NA
2016,CENTRAL,3 Room,2262.5
2016,CENTRAL,4 Room,2987.5
2016,CENTRAL,5 Room,NA
2016,CENTRAL,EXECUTIVE,NA
2016,CHOA CHU KANG,3 Room,NA
2016,CHOA CHU KANG,4 Room,1950
2016,CHOA CHU KANG,5 Room,2075
2016,CHOA CHU KANG,EXECUTIVE,2202.5
2016,CLEMENTI,3 Room,2000
2016,CLEMENTI,4 Room,2550
2016,CLEMENTI,5 Room,NA
2016,CLEMENTI,EXECUTIVE,NA
2016,GEYLANG,3 Room,1862.5
2016,GEYLANG,4 Room,2437.5
2016,GEYLANG,5 Room,2670
2016,GEYLANG,EXECUTIVE,NA
2016,HOUGANG,3 Room,1737.5
2016,HOUGANG,4 Room,2075
2016,HOUGANG,5 Room,2250
2016,HOUGANG,EXECUTIVE,2475
2016,JURONG EAST,3 Room,1807.5
2016,JURONG EAST,4 Room,2362.5
2016,JURONG EAST,5 Room,2475
2016,JURONG EAST,EXECUTIVE,2770
2016,JURONG WEST,3 Room,1787.5
2016,JURONG WEST,4 Room,2275
2016,JURONG WEST,5 Room,2462.5
2016,JURONG WEST,EXECUTIVE,NA
2016,KALLANG/WHAMPOA,3 Room,1987.5
2016,KALLANG/WHAMPOA,4 Room,2525
2016,KALLANG/WHAMPOA,5 Room,2787.5
2016,KALLANG/WHAMPOA,EXECUTIVE,NA
2016,MARINE PARADE,3 Room,1945
2016,MARINE PARADE,4 Room,2290
2016,MARINE PARADE,5 Room,NA
2016,MARINE PARADE,EXECUTIVE,NA
2016,PASIR RIS,3 Room,NA
2016,PASIR RIS,4 Room,2075
2016,PASIR RIS,5 Room,2262.5
2016,PASIR RIS,EXECUTIVE,2400
2016,PUNGGOL,3 Room,NA
2016,PUNGGOL,4 Room,1900
2016,PUNGGOL,5 Room,1987.5
2016,PUNGGOL,EXECUTIVE,NA
2016,QUEENSTOWN,3 Room,2050
2016,QUEENSTOWN,4 Room,2762.5
2016,QUEENSTOWN,5 Room,2962.5
2016,QUEENSTOWN,EXECUTIVE,NA
2016,SEMBAWANG,3 Room,NA
2016,SEMBAWANG,4 Room,1962.5
2016,SEMBAWANG,5 Room,2087.5
2016,SEMBAWANG,EXECUTIVE,2212.5
2016,SENGKANG,3 Room,NA
2016,SENGKANG,4 Room,1975
2016,SENGKANG,5 Room,2050
2016,SENGKANG,EXECUTIVE,2275
2016,SERANGOON,3 Room,1845
2016,SERANGOON,4 Room,2327.5
2016,SERANGOON,5 Room,2467.5
2016,SERANGOON,EXECUTIVE,2662.5
2016,TAMPINES,3 Room,1837.5
2016,TAMPINES,4 Room,2187.5
2016,TAMPINES,5 Room,2375
2016,TAMPINES,EXECUTIVE,NA
2016,TOA PAYOH,3 Room,1962.5
2016,TOA PAYOH,4 Room,2475
2016,TOA PAYOH,5 Room,2712.5
2016,TOA PAYOH,EXECUTIVE,NA
2016,WOODLANDS,3 Room,1500
2016,WOODLANDS,4 Room,1887.5
2016,WOODLANDS,5 Room,2037.5
2016,WOODLANDS,EXECUTIVE,2357.5
2016,YISHUN,3 Room,1662.5
2016,YISHUN,4 Room,2000
2016,YISHUN,5 Room,2200
2016,YISHUN,EXECUTIVE,NA
2017,ANG MO KIO,3 Room,1725
2017,ANG MO KIO,4 Room,2212.5
2017,ANG MO KIO,5 Room,2425
2017,ANG MO KIO,EXECUTIVE,NA
2017,BEDOK,3 Room,1712.5
2017,BEDOK,4 Room,2100
2017,BEDOK,5 Room,2287.5
2017,BEDOK,EXECUTIVE,NA
2017,BISHAN,3 Room,1875
2017,BISHAN,4 Room,2300
2017,BISHAN,5 Room,2575
2017,BISHAN,EXECUTIVE,NA
2017,BUKIT BATOK,3 Room,1625
2017,BUKIT BATOK,4 Room,2000
2017,BUKIT BATOK,5 Room,2220
2017,BUKIT BATOK,EXECUTIVE,2395
2017,BUKIT MERAH,3 Room,1962.5
2017,BUKIT MERAH,4 Room,2600
2017,BUKIT MERAH,5 Room,2825
2017,BUKIT MERAH,EXECUTIVE,NA
2017,BUKIT PANJANG,3 Room,1525
2017,BUKIT PANJANG,4 Room,1750
2017,BUKIT PANJANG,5 Room,1870
2017,BUKIT PANJANG,EXECUTIVE,1972.5
2017,BUKIT TIMAH,3 Room,NA
2017,BUKIT TIMAH,4 Room,NA
2017,BUKIT TIMAH,5 Room,NA
2017,BUKIT TIMAH,EXECUTIVE,NA
2017,CENTRAL,3 Room,2200
2017,CENTRAL,4 Room,2720
2017,CENTRAL,5 Room,NA
2017,CENTRAL,EXECUTIVE,NA
2017,CHOA CHU KANG,3 Room,NA
2017,CHOA CHU KANG,4 Room,1800
2017,CHOA CHU KANG,5 Room,1947.5
2017,CHOA CHU KANG,EXECUTIVE,2125
2017,CLEMENTI,3 Room,1850
2017,CLEMENTI,4 Room,2450
2017,CLEMENTI,5 Room,2665
2017,CLEMENTI,EXECUTIVE,NA
2017,GEYLANG,3 Room,1800
2017,GEYLANG,4 Room,2370
2017,GEYLANG,5 Room,2545
2017,GEYLANG,EXECUTIVE,NA
2017,HOUGANG,3 Room,1637.5
2017,HOUGANG,4 Room,1975
2017,HOUGANG,5 Room,2125
2017,HOUGANG,EXECUTIVE,2395
2017,JURONG EAST,3 Room,1750
2017,JURONG EAST,4 Room,2145
2017,JURONG EAST,5 Room,2325
2017,JURONG EAST,EXECUTIVE,NA
2017,JURONG WEST,3 Room,1700
2017,JURONG WEST,4 Room,2075
2017,JURONG WEST,5 Room,2275
2017,JURONG WEST,EXECUTIVE,2437.5
2017,KALLANG/WHAMPOA,3 Room,1912.5
2017,KALLANG/WHAMPOA,4 Room,2475
2017,KALLANG/WHAMPOA,5 Room,2695
2017,KALLANG/WHAMPOA,EXECUTIVE,NA
2017,MARINE PARADE,3 Room,1825
2017,MARINE PARADE,4 Room,2200
2017,MARINE PARADE,5 Room,NA
2017,MARINE PARADE,EXECUTIVE,NA
2017,PASIR RIS,3 Room,NA
2017,PASIR RIS,4 Room,1975
2017,PASIR RIS,5 Room,2145
2017,PASIR RIS,EXECUTIVE,2330
2017,PUNGGOL,3 Room,NA
2017,PUNGGOL,4 Room,1800
2017,PUNGGOL,5 Room,1850
2017,PUNGGOL,EXECUTIVE,NA
2017,QUEENSTOWN,3 Room,1950
2017,QUEENSTOWN,4 Room,2600
2017,QUEENSTOWN,5 Room,2862.5
2017,QUEENSTOWN,EXECUTIVE,NA
2017,SEMBAWANG,3 Room,NA
2017,SEMBAWANG,4 Room,1812.5
2017,SEMBAWANG,5 Room,1975
2017,SEMBAWANG,EXECUTIVE,2107.5
2017,SENGKANG,3 Room,NA
2017,SENGKANG,4 Room,1850
2017,SENGKANG,5 Room,1912.5
2017,SENGKANG,EXECUTIVE,2037.5
2017,SERANGOON,3 Room,1787.5
2017,SERANGOON,4 Room,2275
2017,SERANGOON,5 Room,2287.5
2017,SERANGOON,EXECUTIVE,NA
2017,TAMPINES,3 Room,1725
2017,TAMPINES,4 Room,2062.5
2017,TAMPINES,5 Room,2225
2017,TAMPINES,EXECUTIVE,NA
2017,TOA PAYOH,3 Room,1800
2017,TOA PAYOH,4 Room,2337.5
2017,TOA PAYOH,5 Room,2600
2017,TOA PAYOH,EXECUTIVE,NA
2017,WOODLANDS,3 Room,1450
2017,WOODLANDS,4 Room,1787.5
2017,WOODLANDS,5 Room,1900
2017,WOODLANDS,EXECUTIVE,2212.5
2017,YISHUN,3 Room,1587.5
2017,YISHUN,4 Room,1877.5
2017,YISHUN,5 Room,2075
2017,YISHUN,EXECUTIVE,NA
