Name,postal,address,latitude,longtitude
100 AM,079027,100 TRAS STREET 100 AM SINGAPORE 079027,1.2745882179999999,103.84347070000001
313@Somerset,238895,313 ORCHARD ROAD OCBC 313@SOMERSET SINGAPORE 238895,1.3010065690000001,103.83824659999999
Aperia,339511,12 KALLANG AVENUE APERIA SINGAPORE 339511,1.30974242,103.8641016
Balestier Hill Shopping Centre,321002,2A BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 321002,1.326124169,103.8437095
Bugis Cube,188735,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,1.298195005,103.85565550000001
Bugis Junction,188024,230 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188024,1.300117893,103.8561916
Bugis+,NIL,BUGIS VILLAGE,1.30075921,103.8552041
Capitol Piazza,178905,13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905,1.293063359,103.85129350000001
Cathay Cineleisure Orchard,239695,8 GRANGE ROAD CATHAY CINELEISURE ORCHARD SINGAPORE 239695,1.301497434,103.8364448
Clarke Quay Central,NA,NA,NA,NA
The Centrepoint,238844,176A ORCHARD ROAD THE CENTREPOINT SINGAPORE 238844,1.301978045,103.8397589
City Square Mall,208539,180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539,1.31147745,103.8567808
City Gate Mall,NA,NA,NA,NA
CityLink Mall,039393,1 RAFFLES LINK CITYLINK MALL SINGAPORE 039393,1.292378607,103.854663
Duo,NIL,DUO RESIDENCES,1.299216621,103.8579968
Far East Plaza,228217,14D SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228217,1.3073111259999999,103.83394
Funan,179105,107 NORTH BRIDGE ROAD FUNAN SINGAPORE 179105,1.2912440059999999,103.8499848
Great World City,237994,1 KIM SENG PROMENADE GREAT WORLD CITY SINGAPORE 237994,1.293154929,103.831928
HDB Hub,310530,530 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310530,1.33218812,103.8470778
Holland Village Shopping Mall,NA,NA,NA,NA
ION Orchard,238801,2 ORCHARD TURN ION ORCHARD SINGAPORE 238801,1.3040425340000001,103.83188829999999
Junction 8,579837,9 BISHAN PLACE GOLDEN VILLAGE (BISHAN JUNCTION 8) SINGAPORE 579837,1.3504819769999998,103.8487608
Knightsbridge,238857,270 ORCHARD ROAD KNIGHTSBRIDGE SINGAPORE 238857,1.302983123,103.8362839
Liang Court,179036,177C RIVER VALLEY ROAD LIANG COURT SINGAPORE 179036,1.291490199,103.8446689
Liat Towers,238881,541 ORCHARD ROAD LIAT TOWERS SINGAPORE 238881,1.30510759,103.83072790000001
Lucky Plaza,238863,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,1.30446379,103.83400520000001
Marina Bay Sands,NIL,MARINA BAY SANDS,1.283994101,103.85945059999999
The Shoppes at Marina Bay Sands,018958,2A BAYFRONT AVENUE THE SHOPPES AT MARINA BAY SANDS SINGAPORE 018958,1.284234913,103.8589822
Marina Bay Financial Centre Tower 3,018982,12 MARINA BOULEVARD MARINA BAY FINANCIAL CENTRE (TOWER 3) SINGAPORE 018982,1.279124938,103.85445759999999
Marina Bay Link Mall,018984,8A MARINA BOULEVARD MARINA BAY LINK MALL SINGAPORE 018984,1.2804679429999999,103.85347009999998
Marina One,NIL,MARINA ONE RESIDENCES,1.27704169,103.85340190000001
Marina Square,039594,6 RAFFLES BOULEVARD MARINA SQUARE SINGAPORE 039594,1.2910398029999999,103.8576235
Millenia Walk,039596,9 RAFFLES BOULEVARD MILLENIA WALK SINGAPORE 039596,1.292046053,103.8599002
Mustafa Shopping Centre,NA,NA,NA,NA
Ngee Ann City,238874,391B ORCHARD ROAD NGEE ANN CITY SINGAPORE 238874,1.302424172,103.8346761
Orchard Central,238896,181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896,1.300723504,103.83969240000002
Orchard Gateway,238858,277 ORCHARD ROAD ORCHARD GATEWAY SINGAPORE 238858,1.300443253,103.8394428
Orchard Plaza,238841,150 ORCHARD ROAD ORCHARD PLAZA SINGAPORE 238841,1.30126533,103.84115179999999
Midpoint Orchard,238852,220 ORCHARD ROAD MIDPOINT ORCHARD SINGAPORE 238852,1.301783782,103.8386606
Orchard Shopping Centre,238866,321 ORCHARD ROAD ORCHARD SHOPPING CENTRE SINGAPORE 238866,1.301484998,103.83788829999999
Palais Renaissance,238871,390 ORCHARD ROAD PALAIS RENAISSANCE SINGAPORE 238871,1.306654845,103.829588
People's Park Centre,058359,101B UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058359,1.285757742,103.8439298
People's Park Complex,059108,1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108,1.284128626,103.8425848
Plaza Singapura,238839,68 ORCHARD ROAD PLAZA SINGAPURA SINGAPORE 238839,1.300820718,103.8450673
PoMo,NA,NA,NA,NA
Raffles City,179103,252 NORTH BRIDGE ROAD RAFFLES CITY SHOPPING CENTRE SINGAPORE 179103,1.2938935790000001,103.8531199
Scotts Square,NIL,SCOTTS SQUARE,1.3057629240000002,103.8330834
Serangoon Plaza,218108,320 SERANGOON ROAD SERANGOON PLAZA SINGAPORE 218108,1.310780752,103.8551468
Shaw House and Centre,NA,NA,NA,NA
Sim Lim Square,188504,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,1.303022985,103.85287559999999
Singapore Shopping Centre,239924,190 CLEMENCEAU AVENUE SINGAPORE SHOPPING CENTRE SINGAPORE 239924,1.2981321479999999,103.8441384
The South Beach,189767,38 BEACH ROAD THE SOUTH BEACH SINGAPORE 189767,1.2949880440000001,103.8562762
Square 2,307506,10 SINARAN DRIVE SQUARE 2 SINGAPORE 307506,1.320612586,103.8443315
Suntec City,NIL,SUNTEC CITY,1.295466756,103.85858499999999
Tanglin Mall,247933,163 TANGLIN ROAD TANGLIN MALL SINGAPORE 247933,1.304853421,103.8238835
Tangs,238865,320 ORCHARD ROAD DBS TANGS ORCHARD SINGAPORE 238865,1.304950056,103.8329711
Tanjong Pagar Centre,078883,5 WALLICH STREET TANJONG PAGAR CENTRE SINGAPORE 078883,1.276609528,103.8461808
Tekka Centre,210665,665 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210665,1.30617773,103.85061
The Paragon,238859,290 ORCHARD ROAD THE PARAGON SINGAPORE 238859,1.3039493640000002,103.8358442
The Poiz,NIL,THE POIZ RESIDENCES,1.331450866,103.86837170000001
Thomson Plaza,576398,6B MARIGOLD DRIVE THOMSON PLAZA SINGAPORE 576398,1.3543252419999998,103.8303281
United Square,307591,101 THOMSON ROAD UNITED SQUARE SINGAPORE 307591,1.3175117140000001,103.84362879999999
Velocity,307683,238 THOMSON ROAD VELOCITY @ NOVENA SQUARE SINGAPORE 307683,1.319789492,103.84403359999999
Wheelock Place,238880,501 ORCHARD ROAD WHEELOCK PLACE SINGAPORE 238880,1.30453636,103.8307142
Wisma Atria,238877,435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877,1.303698907,103.8331896
Zhongshan Mall,329984,20 AH HOOD ROAD ZHONGSHAN MALL SINGAPORE 329984,1.326945045,103.84655440000002
East,NIL,EASTELLAR,1.31447382,103.89732959999999
White Sands,518457,1 PASIR RIS CENTRAL STREET 3 WHITE SANDS SINGAPORE 518457,1.372398981,103.94974920000001
Downtown East,NIL,DOWNTOWN EAST,1.377775842,103.9547736
Century Square,529509,2 TAMPINES CENTRAL 5 CENTURY SQUARE SINGAPORE 529509,1.3523611309999999,103.9437848
Tampines 1,529536,10 TAMPINES CENTRAL 1 DBS TAMPINES 1 SINGAPORE 529536,1.354323212,103.9451412
Tampines Mall,529510,4 TAMPINES CENTRAL 5 TAMPINES MALL SINGAPORE 529510,1.3525802519999999,103.94469620000001
Our Tampines Hub,528523,1 TAMPINES WALK OUR TAMPINES HUB SINGAPORE 528523,1.353101202,103.9408486
Changi Airport,NIL,CHANGI AIRPORT MRT STATION EXIT B,1.357220256,103.9873046
Changi City Point,486038,5 CHANGI BUSINESS PARK CENTRAL 1 CHANGI CITY POINT SINGAPORE 486038,1.334036379,103.9629176
Djitsun Mall Bedok,469661,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661,1.326053199,103.92960459999999
Eastpoint Mall,528833,3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833,1.342586441,103.9530723
Bedok Mall,467360,311 NEW UPPER CHANGI ROAD BEDOK MALL SINGAPORE 467360,1.3246689740000002,103.9294055
Bedok Point,467351,799 NEW UPPER CHANGI ROAD BEDOK POINT SINGAPORE 467351,1.324801026,103.932384
Paya Lebar Square,409051,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE SINGAPORE 409051,1.318675756,103.89255059999999
Singapore Post Centre,408600,10 EUNOS ROAD 8 SINGAPORE POST CENTRE SINGAPORE 408600,1.318871844,103.8947671
PLQ Mall,409057,10 PAYA LEBAR ROAD PLQ MALL SINGAPORE 409057,1.317482311,103.8928322
KINEX,437157,11 TANJONG KATONG ROAD KINEX SINGAPORE 437157,1.314692135,103.8944805
112 Katong,428802,112 EAST COAST ROAD 112 KATONG SINGAPORE 428802,1.305086818,103.90509890000001
Parkway Parade,449269,80 MARINE PARADE ROAD PARKWAY PARADE SINGAPORE 449269,1.301080033,103.9052818
City Plaza,409286,810 GEYLANG ROAD CITY PLAZA SINGAPORE 409286,1.314805223,103.8934183
Katong Square,423371,88 EAST COAST ROAD KATONG SQUARE SINGAPORE 423371,1.3048533709999999,103.90457420000001
Katong V,428751,30 EAST COAST ROAD KATONG V SINGAPORE 428751,1.303850304,103.9028504
Kallang Wave Mall,397628,1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,1.303843272,103.8727507
Leisure Park Kallang,397693,5 STADIUM WALK LEISURE PARK KALLANG SINGAPORE 397693,1.302337453,103.87644920000001
East Village,NIL,EAST VILLAGE,1.331778949,103.94623670000001
Elias Mall,510623,623 ELIAS ROAD ELIAS MALL SINGAPORE 510623,1.377828766,103.9423643
Loyang Point,510259,259 PASIR RIS STREET 21 LOYANG POINT SINGAPORE 510259,1.36645364,103.9645985
The Flow,428778,66 EAST COAST ROAD THE FLOW SINGAPORE 428778,1.30455858,103.9042117
888 Plaza,730888,888 WOODLANDS DRIVE 50 888 PLAZA SINGAPORE 730888,1.437130524,103.79528990000001
Admiralty Place,NIL,ADMIRALTY PLACE,1.439880955,103.80179100000001
AMK Hub,569933,53 ANG MO KIO AVENUE 3 AMK HUB SINGAPORE 569933,1.369223214,103.8484679
Causeway Point,738099,1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099,1.4360886769999999,103.78601
Broadway Plaza,569841,4190 ANG MO KIO AVENUE 6 BROADWAY PLAZA SINGAPORE 569841,1.371936464,103.8459738
Djitsun Mall,469661,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661,1.326053199,103.92960459999999
Jubilee Square,569814,61 ANG MO KIO AVENUE 8 UOB JUBILEE SQUARE SINGAPORE 569814,1.371785586,103.84783759999999
Junction 9,768897,18 YISHUN AVENUE 9 JUNCTION NINE SINGAPORE 768897,1.433031982,103.8416008
Marsiling Mall,738623,4 WOODLANDS STREET 12 MARSILING MALL HAWKER CENTRE SINGAPORE 738623,1.433512535,103.7797469
Northpoint City,768019,1 NORTHPOINT DRIVE NORTHPOINT CITY SINGAPORE 768019,1.4280358519999998,103.8360921
Sembawang Shopping Centre,758459,604 SEMBAWANG ROAD SEMBAWANG SHOPPING CENTRE SINGAPORE 758459,1.4418532530000001,103.8248324
Sun Plaza,757713,30 SEMBAWANG DRIVE SUN PLAZA SINGAPORE 757713,1.4482265380000001,103.8194621
Wisteria Mall,768698,598 YISHUN RING ROAD WISTERIA MALL SINGAPORE 768698,1.417999263,103.8412365
Woodlands Mart,730768,768 WOODLANDS AVENUE 6 WOODLANDS MART SINGAPORE 730768,1.44564787,103.7981623
Waterway Point,828761,83 PUNGGOL CENTRAL WATERWAY POINT SINGAPORE 828761,1.4064261630000001,103.90223809999999
Compass One,545078,1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078,1.392094156,103.89498
Hougang Mall,538766,90 HOUGANG AVENUE 10 HOUGANG MALL SINGAPORE 538766,1.3724367830000002,103.89372390000001
Heartland Mall,530205,205 HOUGANG STREET 21 CITIBANK HEARTLAND MALL SINGAPORE 530205,1.3595417730000001,103.88516740000001
NEX,556083,23 SERANGOON CENTRAL NEX SINGAPORE 556083,1.3506755209999999,103.87186159999999
Greenwich V,807011,1 SELETAR ROAD GREENWICH V SINGAPORE 807011,1.3876033019999998,103.86942359999999
Hougang 1,538692,1 HOUGANG STREET 91 HOUGANG 1 SINGAPORE 538692,1.375667283,103.8794503
Hougang Green Shopping Mall,538719,21 HOUGANG STREET 51 HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,1.379317835,103.88784709999999
myVillage @ Serangoon,NA,NA,NA,NA
Oasis Terraces,820681,681 PUNGGOL DRIVE OASIS TERRACES SINGAPORE 820681,1.402634601,103.91327059999999
Punggol Plaza,820168,168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168,1.394184094,103.9129764
Rivervale Mall,545082,11 RIVERVALE CRESCENT RIVERVALE MALL SINGAPORE 545082,1.3922173269999998,103.90447309999999
Rivervale Plaza,540118,118 RIVERVALE DRIVE RIVERVALE PLAZA SINGAPORE 540118,1.385371516,103.90184959999999
The Seletar Mall,797653,33 SENGKANG WEST AVENUE THE SELETAR MALL SINGAPORE 797653,1.391393061,103.87606770000001
Buangkok Square,530991,991 BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 530991,1.384334266,103.88162309999998
The Midtown,533971,1187 UPPER SERANGOON ROAD THE MIDTOWN SINGAPORE 533971,1.37047941,103.8951285
Upper Serangoon Shopping Centre,534626,756 UPPER SERANGOON ROAD UPPER SERANGOON SHOPPING CENTRE SINGAPORE 534626,1.353480883,103.8788284
Beauty World Centre,588177,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177,1.342412642,103.7765394
Beauty World Plaza,588176,140 UPPER BUKIT TIMAH ROAD BEAUTY WORLD PLAZA SINGAPORE 588176,1.341787998,103.77630409999999
Bukit Panjang Plaza,677743,1 JELEBU ROAD BUKIT PANJANG PLAZA SINGAPORE 677743,1.379916507,103.7643171
Bukit Timah Plaza,588998,3 JALAN ANAK BUKIT BUKIT TIMAH PLAZA SINGAPORE 588998,1.338631653,103.77858540000001
Fajar Shopping Centre,670446,446 FAJAR ROAD FAJAR SHOPPING CENTRE SINGAPORE 670446,1.384005825,103.77102959999999
Greenridge Shopping Centre,671524,524A JELAPANG ROAD GREENRIDGE SHOPPING CENTRE SINGAPORE 671524,1.385417687,103.7662355
Hillion Mall,678278,17 PETIR ROAD HILLION MALL SINGAPORE 678278,1.378498681,103.76302290000001
HillV2,667979,4 HILLVIEW RISE HILLV2 SINGAPORE 667979,1.363550958,103.76423609999999
Junction 10,677899,1 WOODLANDS ROAD JUNCTION 10 SINGAPORE 677899,1.380605125,103.7600416
Limbang Shopping Centre,680534,534 CHOA CHU KANG STREET 51 LIMBANG SHOPPING CENTRE SINGAPORE 680534,1.392242406,103.74319100000001
Lot One,689812,"21 CHOA CHU KANG AVENUE 4 LOT ONE, SHOPPERS' MALL SINGAPORE 689812",1.385111549,103.7450362
Rail Mall,678046,392 UPPER BUKIT TIMAH ROAD THE RAIL MALL SINGAPORE 678046,1.35797849,103.767972
Sunshine Place,680475,475 CHOA CHU KANG AVENUE 3 SUNSHINE PLACE SINGAPORE 680475,1.377897277,103.73901550000001
Teck Whye Shopping Centre,680137,137 TECK WHYE LANE TECK WHYE SHOPPING CENTRE SINGAPORE 680137,1.380047726,103.7524646
West Mall,658713,1 BUKIT BATOK CENTRAL LINK WEST MALL SINGAPORE 658713,1.3501891659999998,103.749022
Yew Tee Point,689578,21 CHOA CHU KANG NORTH 6 UOB YEW TEE POINT SINGAPORE 689578,1.397057415,103.7466621
Yew Tee Shopping Centre,NA,NA,NA,NA
Yew Tee Square,680624,624 CHOA CHU KANG STREET 62 YEW TEE SQUARE SINGAPORE 680624,1.3980473619999998,103.7470848
Keat Hong Shopping Centre,680253,253 CHOA CHU KANG AVENUE 1 KEAT HONG SHOPPING CENTRE SINGAPORE 680253,1.377439635,103.7443832
KKH The Retail Mall,NA,NA,NA,NA
VivoCity,098585,1 HARBOURFRONT WALK VIVOCITY SINGAPORE 098585,1.264394681,103.82180859999998
HarbourFront Centre,099253,1 MARITIME SQUARE HARBOURFRONT CENTRE SINGAPORE 099253,1.2637968290000001,103.820219
Alexandra Retail Centre,119963,460 ALEXANDRA ROAD UOB ALEXANDRA RETAIL CENTRE SINGAPORE 119963,1.273621827,103.80127890000001
321 Clementi,129905,321 CLEMENTI AVENUE 3 321 CLEMENTI SINGAPORE 129905,1.3120249179999999,103.7649605
The Clementi Mall,129588,3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588,1.315496754,103.76457020000001
IMM,609601,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601,1.33489844,103.7467345
JCube,609731,2 JURONG EAST CENTRAL 1 JCUBE SINGAPORE 609731,1.333237851,103.74019129999999
Jem,608550,52 JURONG GATEWAY ROAD JEM SINGAPORE 608550,1.333054519,103.74343370000001
Westgate Mall,NA,NA,NA,NA
Jurong Point,648886,1 JURONG WEST CENTRAL 2 JURONG POINT SINGAPORE 648886,1.339452004,103.706685
Pioneer Mall,640638,638 JURONG WEST STREET 61 PIONEER MALL SINGAPORE 640638,1.341591087,103.69702009999999
The Star Vista,138617,1 VISTA EXCHANGE GREEN THE STAR VISTA SINGAPORE 138617,1.30697044,103.7884203
Tiong Bahru Plaza,168732,302 TIONG BAHRU ROAD TIONG BAHRU PLAZA SINGAPORE 168732,1.2864712,103.8271583
Alexandra Central,159972,323 ALEXANDRA ROAD ALEXANDRA CENTRAL SINGAPORE 159972,1.287456124,103.8054147
Anchorpoint,159952,368 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159952,1.28893478,103.8056078
Big Box,608521,1 VENTURE AVENUE BIG BOX SINGAPORE 608521,1.331832698,103.7448792
OD Mall,NA,NA,NA,NA
Boon Lay Shopping Centre,640221,221 BOON LAY PLACE BOON LAY SHOPPING CENTRE SINGAPORE 640221,1.346373764,103.7124728
Grantral Mall,368239,605 MACPHERSON ROAD GRANTRAL MALL @ MACPHERSON SINGAPORE 368239,1.333722109,103.8875308
Fairprice Hub,629907,55 BENOI ROAD FAIRPRICE HUB SINGAPORE 629907,1.325617641,103.67841059999999
Gek Poh Shopping Centre,640763,763 JURONG WEST STREET 75 GEK POH SHOPPING CENTRE SINGAPORE 640763,1.3487442319999998,103.6982984
Rochester Mall,138639,35 ROCHESTER DRIVE ROCHESTER MALL SINGAPORE 138639,1.305317927,103.7885239
Taman Jurong Shopping Centre,610399,399 YUNG SHENG ROAD TAMAN JURONG SHOPPING CENTRE SINGAPORE 610399,1.334844875,103.720462
West Coast Plaza,127371,154 WEST COAST ROAD WEST COAST PLAZA SINGAPORE 127371,1.303742583,103.7660929
Queensway Shopping Centre,149053,1 QUEENSWAY QUEENSWAY SHOPPING CENTRE SINGAPORE 149053,1.287617926,103.8033911
